location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Cote d'Ivoire,2021-03-01,Oxford/AstraZeneca,https://news.un.org/fr/story/2021/03/1090572,0,0,,
Cote d'Ivoire,2021-03-06,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1848616131970739,2058,2058,,
Cote d'Ivoire,2021-03-08,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1848616131970739,2924,2924,,
Cote d'Ivoire,2021-03-09,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1849370098562009,4363,4363,,
Cote d'Ivoire,2021-03-10,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1850730125092673,8802,8802,,
Cote d'Ivoire,2021-03-14,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1853474708151548,14937,14937,,
Cote d'Ivoire,2021-03-15,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1854232871409065,15181,15181,,
Cote d'Ivoire,2021-03-16,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1855022227996796,17448,17448,,
Cote d'Ivoire,2021-03-17,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1856545991177753,19113,19113,,
Cote d'Ivoire,2021-03-18,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1856906561141696,20766,20766,,
Cote d'Ivoire,2021-03-19,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1857789514386734,22443,22443,,
Cote d'Ivoire,2021-03-20,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1858756490956703,24171,24171,,
Cote d'Ivoire,2021-03-21,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1859520217546997,24639,24639,,
Cote d'Ivoire,2021-03-22,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1860250877473931,24728,24728,,
Cote d'Ivoire,2021-03-23,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1861007314064954,26079,26079,,
Cote d'Ivoire,2021-03-24,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1861796460652706,27886,27886,,
Cote d'Ivoire,2021-03-25,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/photos/a.134263566739346/1862581443907541/,29535,29535,,
Cote d'Ivoire,2021-03-26,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1863320147167004,31104,31104,,
Cote d'Ivoire,2021-03-27,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1864258720406480,33395,33395,,
Cote d'Ivoire,2021-03-29,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1865721326926886,34388,34388,,
Cote d'Ivoire,2021-03-30,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1866442070188145,37367,37367,,
Cote d'Ivoire,2021-03-31,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1867290600103292,40153,40153,,
Cote d'Ivoire,2021-04-01,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1868400586658960,42725,42725,,
Cote d'Ivoire,2021-04-02,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1868821653283520,45247,45247,,
Cote d'Ivoire,2021-04-03,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1869617259870626,47968,47968,,
Cote d'Ivoire,2021-04-04,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1870344559797896,49642,49642,,
Cote d'Ivoire,2021-04-06,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1871971672968518,49948,49948,,
Cote d'Ivoire,2021-04-08,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1872719396227079,53071,53071,,
Cote d'Ivoire,2021-04-09,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1874409662724719,60823,60823,,
Cote d'Ivoire,2021-04-10,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1875540749278277,66496,66496,,
Cote d'Ivoire,2021-04-11,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1876016745897344,68843,68843,,
Cote d'Ivoire,2021-04-14,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1878471328985219,83425,83425,,
Cote d'Ivoire,2021-04-15,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1879174768914875,87267,87267,,
Cote d'Ivoire,2021-04-16,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1880034655495553,91901,91901,,
Cote d'Ivoire,2021-04-17,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1880785808753771,93540,93540,,
Cote d'Ivoire,2021-04-18,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1881495295349489,94818,94818,,
Cote d'Ivoire,2021-04-21,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1883897901775895,105110,105110,,
Cote d'Ivoire,2021-04-22,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1884672188365133,109077,109077,,
Cote d'Ivoire,2021-04-23,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1885526701613015,113224,113224,,
Cote d'Ivoire,2021-04-24,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1886267658205586,117227,117227,,
Cote d'Ivoire,2021-04-25,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1887513514747667,118875,118875,,
Cote d'Ivoire,2021-04-26,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1887778548054497,119663,119663,,
Cote d'Ivoire,2021-04-27,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1888539487978403,125958,125958,,
Cote d'Ivoire,2021-04-28,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1889322164566802,132434,132434,,
Cote d'Ivoire,2021-04-29,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1890084301157255,140270,140270,,
Cote d'Ivoire,2021-04-30,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1890877344411284,149037,149037,,
Cote d'Ivoire,2021-05-01,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1891632937669058,158981,158981,,
Cote d'Ivoire,2021-05-02,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1892402124258806,163176,163176,,
Cote d'Ivoire,2021-05-03,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1893579394141079,168419,168419,,
Cote d'Ivoire,2021-05-04,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1893929784106040,183301,183301,,
Cote d'Ivoire,2021-05-05,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1894861117346240,197492,197492,,
Cote d'Ivoire,2021-05-06,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1895533880612297,215010,215010,,
Cote d'Ivoire,2021-05-07,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1896312533867765,235747,235747,,
Cote d'Ivoire,2021-05-08,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1897101563788862,252317,252317,,
Cote d'Ivoire,2021-05-09,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1897980657034286,262639,262639,,
Cote d'Ivoire,2021-05-10,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1898660066966345,267032,267032,,
Cote d'Ivoire,2021-05-11,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1899429700222715,280799,280799,,
Cote d'Ivoire,2021-05-12,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1900322076800144,292537,292537,,
Cote d'Ivoire,2021-05-13,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1901135440052141,295309,295309,,
Cote d'Ivoire,2021-05-14,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1901912456641106,301497,301497,,
Cote d'Ivoire,2021-05-15,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1902632499902435,321020,321020,,
Cote d'Ivoire,2021-05-16,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1903472843151734,333793,333793,,
Cote d'Ivoire,2021-05-17,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1904368319728853,340049,340049,,
Cote d'Ivoire,2021-05-18,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1905588016273550,366285,366285,,
Cote d'Ivoire,2021-05-19,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1906497556182596,391085,391085,,
Cote d'Ivoire,2021-05-20,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1907336076098744,418455,418455,,
Cote d'Ivoire,2021-05-21,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1908167929348892,447449,447449,,
Cote d'Ivoire,2021-05-22,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1909010575931294,473098,473098,,
Cote d'Ivoire,2021-05-23,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1909804992518519,486231,486231,,
Cote d'Ivoire,2021-05-24,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1910591959106489,491146,491146,,
Cote d'Ivoire,2021-05-25,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1911359415696410,496319,496319,,
Cote d'Ivoire,2021-05-27,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1912939115538440,528084,528084,,
Cote d'Ivoire,2021-05-28,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1913894008776284,535748,535748,,
Cote d'Ivoire,2021-05-29,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1914663215366030,540245,540245,,
Cote d'Ivoire,2021-05-31,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1916705261828492,541449,541449,,
Cote d'Ivoire,2021-06-01,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1917008368464848,543663,543663,,
Cote d'Ivoire,2021-06-02,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1917735725058779,555472,555472,,
Cote d'Ivoire,2021-06-03,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1918534804978871,567488,567488,,
Cote d'Ivoire,2021-06-05,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1920162881482730,593683,593683,,
Cote d'Ivoire,2021-06-06,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1920966051402413,602540,602540,,
Cote d'Ivoire,2021-06-07,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1921877514644600,606907,606907,,
Cote d'Ivoire,2021-06-08,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1922680157897669,625780,625780,,
Cote d'Ivoire,2021-06-09,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1923507837814901,644253,644253,,
Cote d'Ivoire,2021-06-10,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1924245974407754,662848,662848,,
Cote d'Ivoire,2021-06-11,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1925024047663280,675294,675294,,
Cote d'Ivoire,2021-06-12,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1926015224230829,686626,686626,,
Cote d'Ivoire,2021-06-13,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1926736014158750,692523,692523,,
Cote d'Ivoire,2021-06-14,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1927456237420061,694950,694950,,
Cote d'Ivoire,2021-06-15,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1928238917341793,705051,705051,,
Cote d'Ivoire,2021-06-16,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1929029473929404,712777,712777,,
Cote d'Ivoire,2021-06-17,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1929830203849331,718197,718197,,
Cote d'Ivoire,2021-06-18,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1930556000443418,722073,722073,,
Cote d'Ivoire,2021-06-19,Oxford/AstraZeneca,https://www.facebook.com/mshpcmu/posts/1931520937013591,724592,724592,,
