location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,people_partly_vaccinated
Pakistan,2021-02-02,"CanSino, Sinopharm/Beijing, Sputnik V",https://www.thehindu.com/news/international/pakistan-begins-covid-19-vaccination-programme/article33743052.ece,0,0,,,
Pakistan,2021-02-10,"CanSino, Sinopharm/Beijing, Sputnik V",https://www.geo.tv/latest/334290-no-side-effects-of-covid-19-vaccine-pakistani-frontline-health-workers-say,27228,27228,,,
Pakistan,2021-02-17,"CanSino, Sinopharm/Beijing, Sputnik V",https://www.dawn.com/news/1607971,52768,52768,,,
Pakistan,2021-02-21,"CanSino, Sinopharm/Beijing, Sputnik V",https://www.geo.tv/latest/336163-56m-coronavirus-vaccine-doses-to-arrive-pakistan-in-march,72882,72882,,,
Pakistan,2021-03-14,"CanSino, Sinopharm/Beijing, Sputnik V",https://www.thenews.com.pk/latest/804243-asad-umar-dispels-notion-pakistan-does-not-plan-on-purchasing-vaccines,350000,350000,,,
Pakistan,2021-03-31,"CanSino, Sinopharm/Beijing, Sputnik V",https://www.dawn.com/news/1615662/more-than-08m-covid-19-vaccine-doses-administered-in-pakistan-dr-faisal,800000,800000,,,
Pakistan,2021-04-06,"CanSino, Sinopharm/Beijing, Sputnik V",https://in.news.yahoo.com/covid-19-pakistan-vaccinate-80-091000934.html,936383,936383,,,
Pakistan,2021-04-08,"CanSino, Sinopharm/Beijing, Sputnik V",https://www.dawn.com/news/1617103/govt-to-open-covid-vaccine-registration-for-all-citizens-post-eid-asad-umar,1114000,1114000,,,
Pakistan,2021-04-13,"CanSino, Sinovac, Sinopharm/Beijing, Sputnik V",https://www.brecorder.com/news/amp/40084002,1300000,1300000,,,
Pakistan,2021-04-28,"CanSino, Sinovac, Sinopharm/Beijing, Sputnik V",https://twitter.com/Asad_Umar/status/1387269459014873092,2100000,2100000,,,
Pakistan,2021-05-04,"CanSino, Sinovac, Sinopharm/Beijing, Sputnik V",https://twitter.com/OfficialNcoc/status/1389934313819541504,2967870,,,,
Pakistan,2021-05-05,"CanSino, Sinovac, Sinopharm/Beijing, Sputnik V",https://twitter.com/OfficialNcoc/status/1390158312151322628,3150122,,,,
Pakistan,2021-05-06,"CanSino, Sinovac, Sinopharm/Beijing, Sputnik V",https://twitter.com/OfficialNcoc/status/1390600240185679872,3320304,,,,
Pakistan,2021-05-11,"CanSino, Oxford/AstraZeneca, Sinovac, Sinopharm/Beijing, Sputnik V",https://ncoc.gov.pk/covid-vaccination-en.php,3705244,2811726,952518,,
Pakistan,2021-05-13,"CanSino, Oxford/AstraZeneca, Sinovac, Sinopharm/Beijing, Sputnik V",https://ncoc.gov.pk/covid-vaccination-en.php,3836291,2931064,964227,,
Pakistan,2021-05-20,"CanSino, Oxford/AstraZeneca, Sinovac, Sinopharm/Beijing, Sputnik V",https://ncoc.gov.pk/covid-vaccination-en.php,4747033,3647933,1156893,,
Pakistan,2021-05-21,"CanSino, Oxford/AstraZeneca, Sinovac, Sinopharm/Beijing, Sputnik V",https://ncoc.gov.pk/covid-vaccination-en.php,4956853,3825314,1193441,,
Pakistan,2021-05-24,"CanSino, Oxford/AstraZeneca, Sinovac, Sinopharm/Beijing, Sputnik V",https://ncoc.gov.pk/covid-vaccination-en.php,5358808,4144175,1286429,,
Pakistan,2021-05-27,"CanSino, Oxford/AstraZeneca, Sinovac, Sinopharm/Beijing, Sputnik V",https://ncoc.gov.pk/covid-vaccination-en.php,6130509,4693390,1513144,,
Pakistan,2021-06-01,"CanSino, Oxford/AstraZeneca, Sinovac, Sinopharm/Beijing, Sputnik V",https://ncoc.gov.pk/covid-vaccination-en.php,7337187,5478069,1985005,,
Pakistan,2021-06-02,"CanSino, Oxford/AstraZeneca, Sinovac, Sinopharm/Beijing, Sputnik V",https://ncoc.gov.pk/covid-vaccination-en.php,7648481,5706680,2076600,,
Pakistan,2021-06-03,"CanSino, Oxford/AstraZeneca, Sinovac, Sinopharm/Beijing, Sputnik V",https://ncoc.gov.pk/covid-vaccination-en.php,7953574,5920955,2174169,,
Pakistan,2021-06-05,"CanSino, Oxford/AstraZeneca, Sinovac, Sinopharm/Beijing, Sputnik V",https://ncoc.gov.pk/covid-vaccination-en.php,8263763,6364470,2310115,,
Pakistan,2021-06-09,"CanSino, Oxford/AstraZeneca, Sinovac, Sinopharm/Beijing, Sputnik V",https://ncoc.gov.pk/covid-vaccination-en.php,9559910,7281817,2540238,,
Pakistan,2021-06-12,"CanSino, Oxford/AstraZeneca, Sinovac, Sinopharm/Beijing, Sputnik V",https://ncoc.gov.pk/covid-vaccination-en.php,10496228,8133654,2851063,,
