location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
Bosnia and Herzegovina,2021-02-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://www.reuters.com/article/health-coronavirus-bosnia-vaccines-idUSL8N2KI2RI,0,0,0,
Bosnia and Herzegovina,2021-04-14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://bhrt.ba/sr/%D0%B1%D0%B8%D1%85-%D0%B1%D0%B5%D0%B7-%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D0%BD%D0%B5-%D0%B5%D0%B2%D0%B8%D0%B4%D0%B5%D0%BD%D1%86%D0%B8%D1%98%D0%B5-%D0%BE-%D0%B2%D0%B0%D0%BA%D1%86%D0%B8%D0%BD/,35612,25612,10000,
Bosnia and Herzegovina,2021-04-24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://hayat.ba/u-fbih-prvu-dozu-vakcine-primilo-vise-od-33-300-gradana-a-drugu-dozu-jos-niko/399344/,80988,68988,12000,
Bosnia and Herzegovina,2021-05-01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://srpskainfo.com/stizu-nove-doze-vakcina-zeljkovic-najavio-ubrzanje-procesa-vakcinacije-protiv-korone/,109609,85057,24552,
Bosnia and Herzegovina,2021-05-19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",http://www.vlada.bdcentral.net/Content/Read/dnevni-izvjestaji,151549,116085,35464,
Bosnia and Herzegovina,2021-05-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://www.klix.ba/vijesti/bih/u-fbih-do-sada-vakcinisano-vise-od-112-700-stanovnika/210525116,236472,191659,44813,
Bosnia and Herzegovina,2021-06-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://srpskainfo.com/pristizu-nove-doze-vakcina-seranic-do-sada-u-srpskoj-imunizovano-118-200-ljudi/,323252,257898,65354,
Bosnia and Herzegovina,2021-06-24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://rs.n1info.com/region/u-bih-potpuno-vakcinisano-svega-42-posto-stanovnistva/,430513,293737,136776,
Bosnia and Herzegovina,2021-06-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://nap.ba/news/81246,457491,302020,155471,
Bosnia and Herzegovina,2021-07-05,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://www.fokus.ba/vijesti/bih/otkrivamo-koliko-je-osoba-u-bih-vakcinisano/2101438/,470218,306429,163789,
Bosnia and Herzegovina,2021-07-21,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",http://www.vlada.bdcentral.net/Content/Read/dnevni-izvjestaji,623838,388445,235393,
Bosnia and Herzegovina,2021-08-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://www.zzjzfbih.ba/epidemioloska-situacija-u-federaciji-bih-srijeda-04-08-2021-godine-presjek-stanja-u-12h/,777900,491843,286057,
Bosnia and Herzegovina,2021-08-10,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://bhrt.ba/sarajevoaustrija-urucila-bih-pola-miliona-vakcina-astrazeneca/,798422,499813,298609,
Bosnia and Herzegovina,2021-08-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",http://mcp.gov.ba/Publication/Read/informacije-o-procesu-vakcinacije-u-bosni-i-hercegovini?pageId=97,865306,537608,327698,
Bosnia and Herzegovina,2021-08-18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://bhrt.ba/vakcinacija-u-bih-oko-567-hiljada-gradjana-primilo-prvu-360-hiljada-drugu-dozu/,928126,567198,360928,
Bosnia and Herzegovina,2021-09-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://ba.n1info.com/vijesti/mcp-za-n1-revakcinisano-1245-posto-stanovnistva-ocekuje-se-i-moderna/,1060145,634063,426082,
Bosnia and Herzegovina,2021-09-29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://hayat.ba/zvanicni-podaci-u-bih-uslo-vise-od-tri-miliona-vakcina-evo-koliko-je-gradana-vakcinisano/503309/,1242203,734195,508008,
Bosnia and Herzegovina,2021-10-31,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://mondo.ba/Info/Drustvo/a1079262/Broj-vakcinisanih-u-BiH.html,1479596,797531,682065,
Bosnia and Herzegovina,2021-11-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://covid19.who.int/,1553874,833233,720631,
Bosnia and Herzegovina,2021-11-30,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://www.telegraf.rs/vesti/jugosfera/3425880-uzasno-korona-stanje-u-bih-do-sada-cak-12-586-umrlih-a-o-vakcini-mnogi-i-ne-razmisljaju,,882641,,22572
Bosnia and Herzegovina,2022-01-25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://faktor.ba/vijest/u-bih-stiglo-vise-od-3900000-vakcina-potpuno-vakcinisano-nije-ni-900000-gradana-propalo-oko-750000-doza/151353,,939775,842954,120530
Bosnia and Herzegovina,2022-01-29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",https://covid19.who.int/,1924950,943394,846080,
